name
Nintendo Society
Nippon Students Association
No-Code Society
Nutrition, Dietetics & Food Innovation Society
Omani Society
One Piece Society
Organisation of Planning Students
Overseas Christian Fellowship
Pasifika Society
PCSoc: Computers and Tech
Personal Finance Club
Personalised English Language Enhancement Society
Philip Baxter College
Physiotherapy & Exercise Physiology Society
Piano Society UNSW
Pickleball Society
Plastic Model Kit Society
Pokemon Society
Poker Society UNSW
Politics, Philosophy, and Economics Society
Port Medical Society
Postgraduate Business Society
Project Hope UNSW
Quadball Society
Quantitative Finance and Trading Society
Quantum Engineering Society
Queer Students in STEM
Railway Society
Rap, R&B and Hip Hop Appreciation Society
Real Estate Investment Student Association
Real Estate Society
Redback Racing
Reformed Evangelical Fellowship
Rehabilitation Engineering Society
Renewable Energy Society
Research Seminar Association
Retro Games Society
Rhythm Games Society
Roblox Society
Robogals
Robotics and Mechatronics Society
Rock Music Society
Rocketry Society UNSW
Rubik Society
Rural Allied Health and Medical Society
Sai Society
Samuel Griffiths Society
Sanrio Lovers Society
Saudi Student Association
Save the Children Australia UNSW
Security Society
SEGA Society
Shalom College Residents Society
Shark Tank Society
Singapore Medical Society of UNSW
Singapore Students' Association
Skate Society
Skylabs UNSW
Slavic Society
Smash Brothers
Social Cricket Society
Social Football Society
Social Sciences Society
Society of Orchestra and Pipers
Society of Telecommunications and Electronics
Society of Vietnamese International Students
Socratic Society
SOFIA UNSW Orthodox Christian Fellowship
Software Development Society (Dev Soc)
Souls Society
Spanish & Latin American Society UNSW
SpikeSoc (Roundnet)
St John Ambulance Student Society
Stand-Up Comedy Club
StartUp Link
Student Energy UNSW
Student Outreach to the World
Students for Palestine UNSW
Students of Chemistry Society
Surgical Society
Tabletop Games Society
TEDxUNSW
TeoChew Students Association
Thai Students Society
The New Zealand Society
The School of Mechanical and Manufacturing Engineering Society
The University of New South Wales Buddhist Society
The Women in Electrical Engineering and Telecommunications Society
Toastmasters Society
Touhou Project Society
Turkish Society
United Nations Society
University Network for Cryptocurrency and Blockchain
University Network for Investing & Trading
University of New South Wales AFL
UNSW Aikido
UNSW Archery Club
UNSW Architecture Society
UNSW Asean society
UNSW Association of Pharmacy Students
UNSW Athletics Club
UNSW Aviation Society
UNSW Bangladeshi Society
UNSW Basketball Club
UNSW Biological and Ecological Sciences Society
UNSW Bloom Collective
UNSW Bookworm Society
UNSW Bouldering Society
UNSW Boxing & Muay Thai
UNSW Brazilian Jiu-Jitsu and Wrestling Society
UNSW Bridge Society
UNSW Cat Appreciation Society
UNSW Cheer and Dance Society
UNSW Chemical Engineering Research Society
UNSW Chemical Engineering Undergraduate Society
UNSW Chess Club
UNSW Christian Students
UNSW Collegiate Sports Association
UNSW Consulting Club
UNSW Cooking Society
UNSW Cricket Club
UNSW Cycling and Triathlon Club
UNSW Digital Society
UNSW European Society
UNSW Fashion and Beauty Society
UNSW Fencing Club
UNSW Film Society
UNSW First Nations Business Society
UNSW Food For All
UNSW Food Lovers Society
UNSW Food Science Association
UNSW Football Club Incorporated
UNSW Forex Association
UNSW Giving Sight Society
UNSW Hall
UNSW Hard Dance Society
UNSW Hellenic Society
UNSW Hindu Society
UNSW Hockey Club
UNSW Hong Kong Student Association
UNSW Honour of Kings Society
UNSW Ice Skating Society
UNSW Indian Society
UNSW Judo Club
UNSW Karate Club
UNSW Kendo Club
UNSW Korean Student's Association
UNSW KOSTA
UNSW Kpop Society
UNSW Labor Left
UNSW Lacrosse Club
UNSW Liberty Club
UNSW Mahjong and Chinese Boardgame Society
Unsw Malayalee Society
UNSW Management Society
UNSW Motorsport Society
UNSW Muslim Students' Association
UNSW Naach
UNSW Nepalese Society
UNSW Netball Club
UNSW Nuclear Society
UNSW Outdoors Club
UNSW Oztag Club
UNSW Pakistani Students Society
UNSW Philosophy Society
UNSW Photography Society
UNSW Physics Society
UNSW Psychology Society
UNSW Punjabi Society
UNSW Puzzle Society
UNSW Riot Games Society
UNSW Robotics Competition Club
UNSW Rowing Club
UNSW Rugby Club
UNSW Sapphic Society
UNSW Science Society
UNSW Sign Language Society
UNSW Singing Society
UNSW Ski and Board Society
UNSW Social Golf Society
UNSW Social Work Student Association
UNSW Socialists
UNSW Squash
UNSW Sri Lankan Society
UNSW Stage
UNSW String Ensemble
UNSW Surveying Society
UNSW Swimming
UNSW Table Tennis Club
UNSW Taekwondo
UNSW Taido Club
UNSW Taiwanese Students Association
UNSW Target Rifle Society
UNSW Tea & Coffee Society
UNSW Tennis Club
UNSW Tetris Society
UNSW Ultimate
UNSW Underwater Club
UNSW Underwater Rugby Club
UNSW Volleyball Club
UNSW Waterski & Wakeboard Club
UNSW Wests Water Polo Club
UNSW-Rabbitohs Touch Football Club
Vietnamese Students Association
Visual Novel Club
Vocallective
VR Society UNSW
Wagga Wagga Rural Undergraduate Medical Society
Wandering Society
Warhammer Club
Warrane College
Watch Society
We The Free - Animal Rights UNSW
Web3 Club
Webcomic Society
Western Sydney Society
Windsurfing, Sailing Surfing Club
Women in Aviation Society
Women In Consulting
Women in Economics Society
Women in Engineering
Women In Management
Women In Science Society UNSW
Women in Technology
Young Australian Lebanese Association
Young Entrepreneurs Program
Youth Music Mission
